30,waving,4582674944,-0.35372812,5.2834764,7.9014235;
30,waving,4588675584,-0.27771547,5.296046,8.208766;
30,waving,4594678272,-0.27771547,5.296046,8.208766;
30,waving,4607681024,-0.23851208,5.258937,8.36558;
30,waving,4614680832,-0.2011043,5.226916,8.395206;
30,waving,4630674880,-0.2011043,5.226916,8.395206;
30,waving,4641414400,-0.17925815,5.177837,8.261736;
30,waving,4653420288,-0.17925815,5.177837,8.261736;
30,waving,4666422272,-0.110128544,5.1649685,8.275502;
30,waving,5545583360,-0.17446995,5.373555,8.062127;
30,waving,5627582208,-0.17446995,5.373555,8.062127;
30,waving,5640585216,-0.17446995,5.373555,8.062127;
30,waving,5650587392,-0.1382592,5.3529058,8.455956;
30,waving,5660589824,-0.11371969,5.4019847,8.479;
30,waving,5678582528,-0.11371969,5.4019847,8.479;
30,waving,6549465344,-0.987865,7.589293,6.3892508;
30,waving,6563468800,-0.987865,7.589293,6.3892508;
30,waving,6584479744,-4.3273335,6.238124,5.2640247;
30,waving,6601483008,-2.99412,5.8377104,5.141327;
30,waving,6597481472,-4.3273335,6.238124,5.2640247;
30,waving,6645241344,-2.99412,5.8377104,5.141327;
30,waving,6652241920,-2.99412,5.8377104,5.141327;
30,waving,6660243456,-1.5516753,6.69001,5.3400373;
30,waving,6689250048,-1.5516753,6.69001,5.3400373;
30,waving,6689250048,-1.5516753,6.69001,5.3400373;
30,waving,6696251904,-1.0165942,6.482322,5.3998895;
30,waving,6696251904,-1.0165942,6.482322,5.3998895;
30,waving,6701252864,-1.0165942,6.482322,5.3998895;
30,waving,6702252288,-1.0165942,6.482322,5.3998895;
30,waving,6707254272,-1.6190093,5.905344,5.325672;
30,waving,6715256064,-1.6190093,5.905344,5.325672;
30,waving,7568378112,4.4162145,8.201284,1.1805899;
30,waving,7551372544,4.4162145,8.201284,1.1805899;
30,waving,7586380032,4.8977275,7.667999,1.4783561;
30,waving,7584382464,4.8977275,7.667999,1.4783561;
30,waving,7590381568,6.3665075,7.4270935,2.890276;
30,waving,7594382848,6.3665075,7.4270935,2.890276;
30,waving,7596382720,6.3665075,7.4270935,2.890276;
30,waving,7795426304,6.3665075,7.4270935,2.890276;
30,waving,7804429568,4.495219,7.9923997,5.642891;
30,waving,4582674944,-0.35372812,5.2834764,7.9014235;
30,waving,4588675584,-0.27771547,5.296046,8.208766;
30,waving,4594678272,-0.27771547,5.296046,8.208766;
30,waving,4607681024,-0.23851208,5.258937,8.36558;
30,waving,4614680832,-0.2011043,5.226916,8.395206;
30,waving,4630674880,-0.2011043,5.226916,8.395206;
30,waving,4641414400,-0.17925815,5.177837,8.261736;
30,waving,4653420288,-0.17925815,5.177837,8.261736;
30,waving,4666422272,-0.110128544,5.1649685,8.275502;
30,waving,5545583360,-0.17446995,5.373555,8.062127;
30,waving,5627582208,-0.17446995,5.373555,8.062127;
30,waving,5640585216,-0.17446995,5.373555,8.062127;
30,waving,5650587392,-0.1382592,5.3529058,8.455956;
30,waving,5660589824,-0.11371969,5.4019847,8.479;
30,waving,5678582528,-0.11371969,5.4019847,8.479;
30,waving,6549465344,-0.987865,7.589293,6.3892508;
30,waving,6563468800,-0.987865,7.589293,6.3892508;
30,waving,6584479744,-4.3273335,6.238124,5.2640247;
30,waving,6601483008,-2.99412,5.8377104,5.141327;
30,waving,6597481472,-4.3273335,6.238124,5.2640247;
30,waving,6645241344,-2.99412,5.8377104,5.141327;
30,waving,6652241920,-2.99412,5.8377104,5.141327;
30,waving,6660243456,-1.5516753,6.69001,5.3400373;
30,waving,6689250048,-1.5516753,6.69001,5.3400373;
30,waving,6689250048,-1.5516753,6.69001,5.3400373;
30,waving,6696251904,-1.0165942,6.482322,5.3998895;
30,waving,6696251904,-1.0165942,6.482322,5.3998895;
30,waving,6701252864,-1.0165942,6.482322,5.3998895;
30,waving,6702252288,-1.0165942,6.482322,5.3998895;
30,waving,6707254272,-1.6190093,5.905344,5.325672;
30,waving,6715256064,-1.6190093,5.905344,5.325672;
30,waving,7568378112,4.4162145,8.201284,1.1805899;
30,waving,7551372544,4.4162145,8.201284,1.1805899;
30,waving,7586380032,4.8977275,7.667999,1.4783561;
30,waving,7584382464,4.8977275,7.667999,1.4783561;
30,waving,7590381568,6.3665075,7.4270935,2.890276;
30,waving,7594382848,6.3665075,7.4270935,2.890276;
30,waving,7596382720,6.3665075,7.4270935,2.890276;
30,waving,7795426304,6.3665075,7.4270935,2.890276;
30,waving,7804429568,4.495219,7.9923997,5.642891;
,,,,,
30,waving,7813429760,4.495219,7.9923997,5.642891;
30,waving,7822430744,4.495219,7.9923997,5.642891;
30,waving,7830435072,4.495219,7.9923997,5.642891;
6;,,,,,
